Time,Y
8.951,3.167713
8.961,2.855312
8.971,2.552043
8.981,2.31808
8.991,2.305356
9.001,2.416874
9.011,2.421514
9.021,2.350113
9.031,2.280807
9.041,2.214196
9.051,2.087559
9.061,1.896706
9.071,1.644181
9.081,1.430725
9.091,1.321003
9.101,1.362018
9.111,1.545835
9.121,1.547183
9.131,1.54838
9.141,1.453627
9.151,1.251098
9.162,1.126258
9.172,1.114283
9.182,1.258583
9.192,1.37534
9.202,1.337918
9.212,1.166973
9.222,0.930166
9.232,0.714764
9.242,0.425565
9.252,0.195793
9.262,0.212408
9.272,0.589474
9.282,0.538879
9.292,0.179477
9.302,0.154479
9.312,0.069905
9.322,-0.19714
9.332,-0.470921
9.342,-0.462388
9.352,-0.027992
9.362,0.444725
9.372,0.688119
9.382,0.44218
9.392,0.051194
9.402,-0.156125
9.412,-0.415087
9.422,-0.569416
9.432,-0.46179
9.442,-0.13951
9.45299487304687,0.179177
9.463,0.42781
9.473,0.528251
9.483,0.506996
9.493,0.52885
9.503,0.560734
9.513,0.569566
9.523,0.667462
9.533,0.88002
9.543,0.935105
9.553,0.810115
9.563,0.588875
9.573,0.38455
9.583,0.144899
9.593,-0.008832
9.603,0.209864
9.613,0.528251
9.623,0.671953
9.633,0.534688
9.643,0.323178
9.653,0.156724
9.663,-0.085323
9.673,-0.278122
9.683,-0.359253
9.693,-0.576152
9.703,-0.890349
9.713,-0.790955
9.723,-0.73557
9.733,-0.722997
9.743,-0.5769
9.754,-0.518073
9.764,-0.684377
9.77399487304688,-0.760119
9.784,-0.93286
9.794,-1.204246
9.804,-1.606609
9.814,-1.777104
9.824,-1.757196
9.834,-1.664389
9.844,-1.550925
9.854,-1.666634
9.864,-2.113904
9.874,-2.753674
9.884,-3.215463
9.894,-3.415597
9.904,-3.142565
9.914,-2.429747
9.924,-1.8512
9.934,-1.803899
9.944,-1.940116
9.954,-1.917662
9.964,-1.781745
9.974,-1.623524
9.984,-1.540447
9.994,-1.445694
10.004,-1.359922
10.014,-1.38956
10.024,-1.777254
10.034,-1.845812
10.045,-1.512305
10.055,-1.296454
10.065,-0.968336
10.075,-0.635728
10.085,-0.008682
10.0949948730469,0.550705
10.105,1.030158
10.115,1.94775
10.125,1.772764
10.135,0.631836
10.145,-0.450713
10.155,-0.678838
10.165,-0.646057
10.175,-0.488734
10.185,-0.267793
10.195,-0.327519
10.205,-0.400567
10.215,-0.232018
10.225,-0.186662
10.235,-0.058977
10.245,-0.071102
10.255,-0.218845
10.265,-0.28381
10.275,-0.027842
10.285,0.506247
10.295,0.597857
10.305,0.996628
10.315,1.36561
10.325,1.520538
10.336,1.931134
10.346,2.276765
10.356,2.597698
10.366,2.033521
10.376,1.873953
10.386,1.9476
10.396,1.32235
10.406,0.855022
10.416,0.61088
10.426,0.473316
10.436,0.523012
10.446,0.8173
10.456,1.162632
10.466,1.441951
10.476,1.874702
10.486,2.379901
10.496,2.136806
10.506,1.861679
10.516,2.225871
10.526,2.047742
10.536,1.770967
10.546,1.597478
10.556,1.704206
10.566,1.914369
10.576,1.960773
10.586,2.004332
10.596,2.302063
10.606,2.57285
10.616,2.640659
10.627,2.711461
10.637,2.68347
10.647,2.518662
10.657,2.347718
10.667,2.536625
10.677,2.908302
10.687,3.099006
10.697,3.08703
10.707,2.995571
10.717,2.851121
10.727,2.765499
10.737,2.627336
10.747,2.521207
10.757,2.411635
10.767,2.393972
10.777,2.490072
10.787,2.670896
10.797,2.877317
10.807,3.139122
10.817,3.208428
10.827,3.186573
10.837,3.204985
